medical,simple
"Local government was divided between the three parishes ( Holy Trinity Church , Sunderland , St. Michael 's , Bishopwearmouth , and St. Peter 's , Monkwearmouth ) and when cholera broke out in 1831 , the `` select vestrymen '' , as the church councilmen were called , were unable to cope with the epidemic .","When cholera broke out in 1831 , the `` select vestrymen '' , as the church councillors were called , did not know what to do about the epidemic ."
Disorders causing dwarfism are often classified by proportionality .,There are more than 200 other conditions which may cause dwarfism .
"Koalas can be subject to pathogens like Chlamydiaceae bacteria , which can cause keratoconjunctivitis , urinary tract infection and reproductive tract infection .","The disease can cause blindness , pneumonia , urinary tract infections and reproductive tract infections ."
"Serous membranes line and enclose several body cavities , known as serous cavities , where they secrete a lubricating fluid which reduces friction from muscle movement .",They secrete a lubricating fluid which reduces friction from muscle movement .
Other notable 17th-century outbreaks were the Italian Plague ( 1629-31 ) ; the Great Plague of Seville ( 1647-52 ) ; the Great Plague of London ( 1665-66 ) ; and the Great Plague of Vienna ( 1679 ) .,"Later outbreaks include the Italian Plague of 1629-1631 , the Great Plague of London ( 1665-1666 ) , the Great Plague of Vienna ( 1679 ) , the Great Plague of Marseille in 1720-1722 and the 1771 plague in Moscow ."
"There is some controversy over the identity of the disease , but in its virulent form , after the Great Plague of Marseille in 1720-22 , the Great Plague of 1738 ( which hit Eastern Europe ) , and the Russian plague of 1770-1772 , it seems to have gradually disappeared from Europe .","There is some controversy over the identity of the disease , but in its virulent form seems to have disappeared from Europe in the 18th century ."
"The 14th-century eruption of the Black Death had a drastic effect on Europe 's population , irrevocably changing the social structure , and resulted in widespread persecution of minorities such as Jews , foreigners , beggars , and lepers ( see Persecutions ) .","It was a serious blow to the Roman Catholic Church and resulted in widespread persecution of minorities such as Jews , Muslims , foreigners , beggars and lepers ."
"He died of a heart attack in 1968 and was honored with a memorial service at Westminster Abbey , London .",He died from a heart attack in 1968 .
"The distinction between `` epidemic '' and `` endemic '' was first drawn by Hippocrates , to distinguish between diseases that are `` visited upon '' a population ( epidemic ) from those that `` reside within '' a population ( endemic ) .",He has also drawn the distinction between ` epidemic ' and ` endemic ' to distinguish between diseases that are ` visited upon ' a population ( epidemic ) from those that ` reside within ' a population ( endemic ) .
"The term epidemiology is now widely applied to cover the description and causation of not only epidemic disease , but of disease in general , and even many non-disease health-related conditions , such as high blood pressure and obesity .","The term has expanded considerably in scope since to cover the description and causation of not only epidemic disease , but of disease in general , and even many non-disease health-related conditions , such as high blood pressure and obesity ."
"Epidemiological studies can only go to prove that an agent could have caused , but not that it did cause , an effect in any particular case : In United States law , epidemiology alone can not prove that a causal association does not exist in general .","Epidemiological studies can only go to prove that an agent could have caused disease in population , but not that it did cause , an effect in any particular case ."
"Dr. John Snow is famous for his investigations into the causes of the 19th century cholera epidemics , and is also known as the father of ( modern ) epidemiology .",Dr. John Snow investigated into the causes of the 19th Century Cholera epidemics .
"Epidemiologists rely on other scientific disciplines like biology to better understand disease processes , statistics to make efficient use of the data and draw appropriate conclusions , social sciences to better understand proximate and distal causes , and engineering for exposure assessment .","Epidemiologists rely on biology ( to better understand disease processes ) , biostatistics ( to design and understand good studies ) , Geographic Information Science ( to store data and map disease patterns ) and social science disciplines ( to understand `` big picture '' causes ) ."
"He provided statistical evidence for many theories on disease , and also refuted some widespread ideas on them .","In 1662 John Graunt used analysis of the mortality rolls in London before the Great Plague to provide statistical evidence for many theories on disease , and refute widespread ideas on them ."
